"train/timestep","GAIL_training_6000_to_7000_HalfCheetah-v4_2345 - _step","GAIL_training_6000_to_7000_HalfCheetah-v4_2345 - _step__MIN","GAIL_training_6000_to_7000_HalfCheetah-v4_2345 - _step__MAX","GAIL_training_6000_to_7000_HalfCheetah-v4_2345 - train/reward","GAIL_training_6000_to_7000_HalfCheetah-v4_2345 - train/reward__MIN","GAIL_training_6000_to_7000_HalfCheetah-v4_2345 - train/reward__MAX","GAIL_training_5000_to_6000_HalfCheetah-v4_2345 - _step","GAIL_training_5000_to_6000_HalfCheetah-v4_2345 - _step__MIN","GAIL_training_5000_to_6000_HalfCheetah-v4_2345 - _step__MAX","GAIL_training_5000_to_6000_HalfCheetah-v4_2345 - train/reward","GAIL_training_5000_to_6000_HalfCheetah-v4_2345 - train/reward__MIN","GAIL_training_5000_to_6000_HalfCheetah-v4_2345 - train/reward__MAX","GAIL_training_3000_to_5000_HalfCheetah-v4_2345 - _step","GAIL_training_3000_to_5000_HalfCheetah-v4_2345 - _step__MIN","GAIL_training_3000_to_5000_HalfCheetah-v4_2345 - _step__MAX","GAIL_training_3000_to_5000_HalfCheetah-v4_2345 - train/reward","GAIL_training_3000_to_5000_HalfCheetah-v4_2345 - train/reward__MIN","GAIL_training_3000_to_5000_HalfCheetah-v4_2345 - train/reward__MAX","GAIL_training_1000_to_3000_HalfCheetah-v4_2345 - _step","GAIL_training_1000_to_3000_HalfCheetah-v4_2345 - _step__MIN","GAIL_training_1000_to_3000_HalfCheetah-v4_2345 - _step__MAX","GAIL_training_1000_to_3000_HalfCheetah-v4_2345 - train/reward","GAIL_training_1000_to_3000_HalfCheetah-v4_2345 - train/reward__MIN","GAIL_training_1000_to_3000_HalfCheetah-v4_2345 - train/reward__MAX","GAIL_training_0_to_1000_HalfCheetah-v4_2345 - _step","GAIL_training_0_to_1000_HalfCheetah-v4_2345 - _step__MIN","GAIL_training_0_to_1000_HalfCheetah-v4_2345 - _step__MAX","GAIL_training_0_to_1000_HalfCheetah-v4_2345 - train/reward","GAIL_training_0_to_1000_HalfCheetah-v4_2345 - train/reward__MIN","GAIL_training_0_to_1000_HalfCheetah-v4_2345 - train/reward__MAX","GAIL_training_neg_inf_to_0_HalfCheetah-v4_2345 - _step","GAIL_training_neg_inf_to_0_HalfCheetah-v4_2345 - _step__MIN","GAIL_training_neg_inf_to_0_HalfCheetah-v4_2345 - _step__MAX","GAIL_training_neg_inf_to_0_HalfCheetah-v4_2345 - train/reward","GAIL_training_neg_inf_to_0_HalfCheetah-v4_2345 - train/reward__MIN","GAIL_training_neg_inf_to_0_HalfCheetah-v4_2345 - train/reward__MAX","GAIL_training_6000_to_7000_HalfCheetah-v4_1234 - _step","GAIL_training_6000_to_7000_HalfCheetah-v4_1234 - _step__MIN","GAIL_training_6000_to_7000_HalfCheetah-v4_1234 - _step__MAX","GAIL_training_6000_to_7000_HalfCheetah-v4_1234 - train/reward","GAIL_training_6000_to_7000_HalfCheetah-v4_1234 - train/reward__MIN","GAIL_training_6000_to_7000_HalfCheetah-v4_1234 - train/reward__MAX","GAIL_training_5000_to_6000_HalfCheetah-v4_1234 - _step","GAIL_training_5000_to_6000_HalfCheetah-v4_1234 - _step__MIN","GAIL_training_5000_to_6000_HalfCheetah-v4_1234 - _step__MAX","GAIL_training_5000_to_6000_HalfCheetah-v4_1234 - train/reward","GAIL_training_5000_to_6000_HalfCheetah-v4_1234 - train/reward__MIN","GAIL_training_5000_to_6000_HalfCheetah-v4_1234 - train/reward__MAX","GAIL_training_3000_to_5000_HalfCheetah-v4_1234 - _step","GAIL_training_3000_to_5000_HalfCheetah-v4_1234 - _step__MIN","GAIL_training_3000_to_5000_HalfCheetah-v4_1234 - _step__MAX","GAIL_training_3000_to_5000_HalfCheetah-v4_1234 - train/reward","GAIL_training_3000_to_5000_HalfCheetah-v4_1234 - train/reward__MIN","GAIL_training_3000_to_5000_HalfCheetah-v4_1234 - train/reward__MAX","GAIL_training_1000_to_3000_HalfCheetah-v4_1234 - _step","GAIL_training_1000_to_3000_HalfCheetah-v4_1234 - _step__MIN","GAIL_training_1000_to_3000_HalfCheetah-v4_1234 - _step__MAX","GAIL_training_1000_to_3000_HalfCheetah-v4_1234 - train/reward","GAIL_training_1000_to_3000_HalfCheetah-v4_1234 - train/reward__MIN","GAIL_training_1000_to_3000_HalfCheetah-v4_1234 - train/reward__MAX","GAIL_training_0_to_1000_HalfCheetah-v4_1234 - _step","GAIL_training_0_to_1000_HalfCheetah-v4_1234 - _step__MIN","GAIL_training_0_to_1000_HalfCheetah-v4_1234 - _step__MAX","GAIL_training_0_to_1000_HalfCheetah-v4_1234 - train/reward","GAIL_training_0_to_1000_HalfCheetah-v4_1234 - train/reward__MIN","GAIL_training_0_to_1000_HalfCheetah-v4_1234 - train/reward__MAX","GAIL_training_neg_inf_to_0_HalfCheetah-v4_1234 - _step","GAIL_training_neg_inf_to_0_HalfCheetah-v4_1234 - _step__MIN","GAIL_training_neg_inf_to_0_HalfCheetah-v4_1234 - _step__MAX","GAIL_training_neg_inf_to_0_HalfCheetah-v4_1234 - train/reward","GAIL_training_neg_inf_to_0_HalfCheetah-v4_1234 - train/reward__MIN","GAIL_training_neg_inf_to_0_HalfCheetah-v4_1234 - train/reward__MAX"
"165000","165","165","165","3531.787519","3531.787519","3531.787519","165","165","165","3352.0330252","3352.0330252","3352.0330252","165","165","165","4053.8296896","4053.8296896","4053.8296896","165","165","165","4036.6822238","4036.6822238","4036.6822238","165","165","165","3898.539582","3898.539582","3898.539582","165","165","165","4431.462500000001","4431.462500000001","4431.462500000001","165","165","165","3911.4921348","3911.4921348","3911.4921348","165","165","165","2989.1782958000003","2989.1782958000003","2989.1782958000003","165","165","165","3846.3544687999993","3846.3544687999993","3846.3544687999993","165","165","165","4441.1240418","4441.1240418","4441.1240418","165","165","165","3477.0535716","3477.0535716","3477.0535716","165","165","165","1203.450903","1203.450903","1203.450903"
"166000","166","166","166","3590.1334082000003","3590.1334082000003","3590.1334082000003","166","166","166","3556.0477076","3556.0477076","3556.0477076","166","166","166","3948.5069267999997","3948.5069267999997","3948.5069267999997","166","166","166","3847.8486548","3847.8486548","3847.8486548","166","166","166","3902.5867562","3902.5867562","3902.5867562","166","166","166","4053.0781825999998","4053.0781825999998","4053.0781825999998","166","166","166","3979.8062364000007","3979.8062364000007","3979.8062364000007","166","166","166","4071.2814612","4071.2814612","4071.2814612","166","166","166","4200.6920878","4200.6920878","4200.6920878","166","166","166","3718.1017614","3718.1017614","3718.1017614","166","166","166","2462.2808892000003","2462.2808892000003","2462.2808892000003","166","166","166","1261.5294388","1261.5294388","1261.5294388"
"167000","167","167","167","3607.1959208","3607.1959208","3607.1959208","167","167","167","3122.1926562","3122.1926562","3122.1926562","167","167","167","4159.5700449999995","4159.5700449999995","4159.5700449999995","167","167","167","3885.2179888000005","3885.2179888000005","3885.2179888000005","167","167","167","3982.8767651999997","3982.8767651999997","3982.8767651999997","167","167","167","4182.4729822","4182.4729822","4182.4729822","167","167","167","3994.2760144","3994.2760144","3994.2760144","167","167","167","3026.3680808","3026.3680808","3026.3680808","167","167","167","4113.420411","4113.420411","4113.420411","167","167","167","4034.1712528000003","4034.1712528000003","4034.1712528000003","167","167","167","3988.8837722000003","3988.8837722000003","3988.8837722000003","167","167","167","3856.0901507999997","3856.0901507999997","3856.0901507999997"
"168000","168","168","168","3547.3360964","3547.3360964","3547.3360964","168","168","168","3708.7141546","3708.7141546","3708.7141546","168","168","168","3991.0946558000005","3991.0946558000005","3991.0946558000005","168","168","168","4010.2019498","4010.2019498","4010.2019498","168","168","168","3942.1223242","3942.1223242","3942.1223242","168","168","168","4111.1238092","4111.1238092","4111.1238092","168","168","168","3707.7502206","3707.7502206","3707.7502206","168","168","168","3910.0616623999995","3910.0616623999995","3910.0616623999995","168","168","168","4054.2559200000005","4054.2559200000005","4054.2559200000005","168","168","168","4078.3327231999997","4078.3327231999997","4078.3327231999997","168","168","168","4198.3251896","4198.3251896","4198.3251896","168","168","168","2616.6407941999996","2616.6407941999996","2616.6407941999996"
"169000","169","169","169","3038.5405101999995","3038.5405101999995","3038.5405101999995","169","169","169","3479.5732934","3479.5732934","3479.5732934","169","169","169","3488.1482988","3488.1482988","3488.1482988","169","169","169","3951.473814","3951.473814","3951.473814","169","169","169","4003.5147626","4003.5147626","4003.5147626","169","169","169","3990.2640152","3990.2640152","3990.2640152","169","169","169","3795.5967162","3795.5967162","3795.5967162","169","169","169","4008.9239786","4008.9239786","4008.9239786","169","169","169","4217.331487","4217.331487","4217.331487","169","169","169","4142.1572062","4142.1572062","4142.1572062","169","169","169","4452.294798000001","4452.294798000001","4452.294798000001","169","169","169","1769.0730402000002","1769.0730402000002","1769.0730402000002"
"170000","170","170","170","3469.999143","3469.999143","3469.999143","170","170","170","3402.1937497999998","3402.1937497999998","3402.1937497999998","170","170","170","4099.1271176","4099.1271176","4099.1271176","170","170","170","3959.4263641999996","3959.4263641999996","3959.4263641999996","170","170","170","4094.9341816","4094.9341816","4094.9341816","170","170","170","4309.9955924","4309.9955924","4309.9955924","170","170","170","4136.3110054","4136.3110054","4136.3110054","170","170","170","3767.1781583999996","3767.1781583999996","3767.1781583999996","170","170","170","4042.4852103999997","4042.4852103999997","4042.4852103999997","170","170","170","3964.8923532","3964.8923532","3964.8923532","170","170","170","4379.2863956","4379.2863956","4379.2863956","170","170","170","4051.6850284","4051.6850284","4051.6850284"
"171000","171","171","171","3831.5396752","3831.5396752","3831.5396752","171","171","171","3807.599979","3807.599979","3807.599979","171","171","171","3507.7984903999995","3507.7984903999995","3507.7984903999995","171","171","171","4049.1102306000002","4049.1102306000002","4049.1102306000002","171","171","171","3888.3756626000004","3888.3756626000004","3888.3756626000004","171","171","171","4451.4600786","4451.4600786","4451.4600786","171","171","171","3964.9194696","3964.9194696","3964.9194696","171","171","171","3197.9123128","3197.9123128","3197.9123128","171","171","171","4033.3766916","4033.3766916","4033.3766916","171","171","171","3728.0493574","3728.0493574","3728.0493574","171","171","171","4573.903379599999","4573.903379599999","4573.903379599999","171","171","171","2929.0351458","2929.0351458","2929.0351458"
"172000","172","172","172","3486.7674888","3486.7674888","3486.7674888","172","172","172","3645.1023884","3645.1023884","3645.1023884","172","172","172","4129.0904636","4129.0904636","4129.0904636","172","172","172","3936.8987327999994","3936.8987327999994","3936.8987327999994","172","172","172","3815.7654966","3815.7654966","3815.7654966","172","172","172","4017.6141596","4017.6141596","4017.6141596","172","172","172","4224.270825400001","4224.270825400001","4224.270825400001","172","172","172","4185.5680648","4185.5680648","4185.5680648","172","172","172","4147.9404874","4147.9404874","4147.9404874","172","172","172","3758.5744941999997","3758.5744941999997","3758.5744941999997","172","172","172","4625.491413000001","4625.491413000001","4625.491413000001","172","172","172","4028.5386832000004","4028.5386832000004","4028.5386832000004"
"173000","173","173","173","3781.9910235999996","3781.9910235999996","3781.9910235999996","173","173","173","3621.9931236","3621.9931236","3621.9931236","173","173","173","4188.2558739999995","4188.2558739999995","4188.2558739999995","173","173","173","4092.0148176000002","4092.0148176000002","4092.0148176000002","173","173","173","3899.0572719999996","3899.0572719999996","3899.0572719999996","173","173","173","4151.2480624","4151.2480624","4151.2480624","173","173","173","4132.6365852","4132.6365852","4132.6365852","173","173","173","4190.947699599999","4190.947699599999","4190.947699599999","173","173","173","4037.3986938000003","4037.3986938000003","4037.3986938000003","173","173","173","4297.1078357999995","4297.1078357999995","4297.1078357999995","173","173","173","4504.6504067999995","4504.6504067999995","4504.6504067999995","173","173","173","4110.908108400001","4110.908108400001","4110.908108400001"
"174000","174","174","174","3912.5244768000002","3912.5244768000002","3912.5244768000002","174","174","174","3826.4973722000004","3826.4973722000004","3826.4973722000004","174","174","174","3666.464445","3666.464445","3666.464445","174","174","174","3879.1290873999997","3879.1290873999997","3879.1290873999997","174","174","174","3977.6254724","3977.6254724","3977.6254724","174","174","174","3983.6659036000005","3983.6659036000005","3983.6659036000005","174","174","174","3902.8176594000006","3902.8176594000006","3902.8176594000006","174","174","174","3978.1963802","3978.1963802","3978.1963802","174","174","174","4047.8566290000003","4047.8566290000003","4047.8566290000003","174","174","174","3754.6346342000006","3754.6346342000006","3754.6346342000006","174","174","174","4405.4878532","4405.4878532","4405.4878532","174","174","174","4212.4265378","4212.4265378","4212.4265378"
"175000","175","175","175","3884.315227","3884.315227","3884.315227","175","175","175","3787.6929588","3787.6929588","3787.6929588","175","175","175","4140.8428348","4140.8428348","4140.8428348","175","175","175","3838.8513314","3838.8513314","3838.8513314","175","175","175","3898.626889","3898.626889","3898.626889","175","175","175","4254.103884","4254.103884","4254.103884","175","175","175","4212.1098298","4212.1098298","4212.1098298","175","175","175","4141.2985997999995","4141.2985997999995","4141.2985997999995","175","175","175","4161.1455104","4161.1455104","4161.1455104","175","175","175","4361.8958664","4361.8958664","4361.8958664","175","175","175","3683.5617948","3683.5617948","3683.5617948","175","175","175","3376.3188866000005","3376.3188866000005","3376.3188866000005"
"176000","176","176","176","2835.6624236000002","2835.6624236000002","2835.6624236000002","176","176","176","3627.8817986000004","3627.8817986000004","3627.8817986000004","176","176","176","3747.6879318","3747.6879318","3747.6879318","176","176","176","3922.0407692","3922.0407692","3922.0407692","176","176","176","4039.871056","4039.871056","4039.871056","176","176","176","4457.2502446","4457.2502446","4457.2502446","176","176","176","4099.1985368000005","4099.1985368000005","4099.1985368000005","176","176","176","4269.1707776","4269.1707776","4269.1707776","176","176","176","4260.4199022","4260.4199022","4260.4199022","176","176","176","4308.5369526","4308.5369526","4308.5369526","176","176","176","4580.0796328","4580.0796328","4580.0796328","176","176","176","3833.4763024","3833.4763024","3833.4763024"
"177000","177","177","177","3903.3823118","3903.3823118","3903.3823118","177","177","177","3365.9252658000005","3365.9252658000005","3365.9252658000005","177","177","177","4137.375853399999","4137.375853399999","4137.375853399999","177","177","177","3975.4199176","3975.4199176","3975.4199176","177","177","177","3867.4268394","3867.4268394","3867.4268394","177","177","177","4534.1825854","4534.1825854","4534.1825854","177","177","177","4124.536037600001","4124.536037600001","4124.536037600001","177","177","177","3660.6650638","3660.6650638","3660.6650638","177","177","177","4214.4976556","4214.4976556","4214.4976556","177","177","177","4138.6772594","4138.6772594","4138.6772594","177","177","177","4592.2773002","4592.2773002","4592.2773002","177","177","177","4223.9142661999995","4223.9142661999995","4223.9142661999995"
"178000","178","178","178","3323.4231363999997","3323.4231363999997","3323.4231363999997","178","178","178","3803.9051328","3803.9051328","3803.9051328","178","178","178","4042.0339678000005","4042.0339678000005","4042.0339678000005","178","178","178","3788.5868294","3788.5868294","3788.5868294","178","178","178","4005.6157086","4005.6157086","4005.6157086","178","178","178","4265.0972170000005","4265.0972170000005","4265.0972170000005","178","178","178","3678.6598446000003","3678.6598446000003","3678.6598446000003","178","178","178","3322.8425172","3322.8425172","3322.8425172","178","178","178","4344.669572600001","4344.669572600001","4344.669572600001","178","178","178","4521.4051386","4521.4051386","4521.4051386","178","178","178","4627.9375824","4627.9375824","4627.9375824","178","178","178","3926.3621484000005","3926.3621484000005","3926.3621484000005"
"179000","179","179","179","3583.694682","3583.694682","3583.694682","179","179","179","3556.8546583999996","3556.8546583999996","3556.8546583999996","179","179","179","4080.2907977999994","4080.2907977999994","4080.2907977999994","179","179","179","3963.1636113999994","3963.1636113999994","3963.1636113999994","179","179","179","4063.5747728","4063.5747728","4063.5747728","179","179","179","3938.265971","3938.265971","3938.265971","179","179","179","4226.3348412","4226.3348412","4226.3348412","179","179","179","3730.377722999999","3730.377722999999","3730.377722999999","179","179","179","4284.4884774","4284.4884774","4284.4884774","179","179","179","4400.4457304","4400.4457304","4400.4457304","179","179","179","3882.4415728","3882.4415728","3882.4415728","179","179","179","3997.694442","3997.694442","3997.694442"
"180000","180","180","180","3253.1338499999997","3253.1338499999997","3253.1338499999997","180","180","180","3694.5540556","3694.5540556","3694.5540556","180","180","180","4348.7645506","4348.7645506","4348.7645506","180","180","180","3918.6420807999993","3918.6420807999993","3918.6420807999993","180","180","180","4027.4895742","4027.4895742","4027.4895742","180","180","180","4059.6538502000003","4059.6538502000003","4059.6538502000003","180","180","180","4246.0141082","4246.0141082","4246.0141082","180","180","180","4232.976909999999","4232.976909999999","4232.976909999999","180","180","180","4289.7976274","4289.7976274","4289.7976274","180","180","180","4082.5596552","4082.5596552","4082.5596552","180","180","180","4504.652239999999","4504.652239999999","4504.652239999999","180","180","180","4270.9165804","4270.9165804","4270.9165804"
"181000","181","181","181","3874.6929437999997","3874.6929437999997","3874.6929437999997","181","181","181","3286.7116994000003","3286.7116994000003","3286.7116994000003","181","181","181","3590.9946599999994","3590.9946599999994","3590.9946599999994","181","181","181","3895.6075754000003","3895.6075754000003","3895.6075754000003","181","181","181","3941.4313982","3941.4313982","3941.4313982","181","181","181","4335.5507124","4335.5507124","4335.5507124","181","181","181","4166.6905938","4166.6905938","4166.6905938","181","181","181","4035.5815924000003","4035.5815924000003","4035.5815924000003","181","181","181","3408.9372453999995","3408.9372453999995","3408.9372453999995","181","181","181","4328.267021","4328.267021","4328.267021","181","181","181","4625.2324106","4625.2324106","4625.2324106","181","181","181","2588.0706256000003","2588.0706256000003","2588.0706256000003"
"182000","182","182","182","3645.6119639999997","3645.6119639999997","3645.6119639999997","182","182","182","3919.4192292","3919.4192292","3919.4192292","182","182","182","3700.8233546","3700.8233546","3700.8233546","182","182","182","3898.421604","3898.421604","3898.421604","182","182","182","4000.096563","4000.096563","4000.096563","182","182","182","3866.1442796","3866.1442796","3866.1442796","182","182","182","4070.8675646","4070.8675646","4070.8675646","182","182","182","3273.8531498","3273.8531498","3273.8531498","182","182","182","3497.6320690000007","3497.6320690000007","3497.6320690000007","182","182","182","3371.8209192000004","3371.8209192000004","3371.8209192000004","182","182","182","4599.6473129999995","4599.6473129999995","4599.6473129999995","182","182","182","4123.1754642","4123.1754642","4123.1754642"
"183000","183","183","183","3477.6737304000003","3477.6737304000003","3477.6737304000003","183","183","183","3759.1234533999996","3759.1234533999996","3759.1234533999996","183","183","183","3993.4785004000005","3993.4785004000005","3993.4785004000005","183","183","183","3956.33094","3956.33094","3956.33094","183","183","183","3956.8112862000003","3956.8112862000003","3956.8112862000003","183","183","183","4249.5020098","4249.5020098","4249.5020098","183","183","183","4039.3168304","4039.3168304","4039.3168304","183","183","183","3399.8631075999997","3399.8631075999997","3399.8631075999997","183","183","183","4329.459527599999","4329.459527599999","4329.459527599999","183","183","183","4218.344561399999","4218.344561399999","4218.344561399999","183","183","183","4596.9752002000005","4596.9752002000005","4596.9752002000005","183","183","183","3924.2392844","3924.2392844","3924.2392844"
"184000","184","184","184","3831.4747032","3831.4747032","3831.4747032","184","184","184","3774.6194508","3774.6194508","3774.6194508","184","184","184","3998.8260658","3998.8260658","3998.8260658","184","184","184","4014.1167293999997","4014.1167293999997","4014.1167293999997","184","184","184","3874.5166689999996","3874.5166689999996","3874.5166689999996","184","184","184","4281.811643999999","4281.811643999999","4281.811643999999","184","184","184","4025.6626229999993","4025.6626229999993","4025.6626229999993","184","184","184","4101.1595424","4101.1595424","4101.1595424","184","184","184","4195.987060199999","4195.987060199999","4195.987060199999","184","184","184","4080.8850498","4080.8850498","4080.8850498","184","184","184","4753.7658798","4753.7658798","4753.7658798","184","184","184","4110.4827162","4110.4827162","4110.4827162"
"185000","185","185","185","3707.4408716","3707.4408716","3707.4408716","185","185","185","3618.1142747999997","3618.1142747999997","3618.1142747999997","185","185","185","4250.3965504","4250.3965504","4250.3965504","185","185","185","4105.2369258","4105.2369258","4105.2369258","185","185","185","4102.6907324","4102.6907324","4102.6907324","185","185","185","4362.5326266","4362.5326266","4362.5326266","185","185","185","4164.5596614","4164.5596614","4164.5596614","185","185","185","4297.4107034","4297.4107034","4297.4107034","185","185","185","4346.1172126","4346.1172126","4346.1172126","185","185","185","4238.580071599999","4238.580071599999","4238.580071599999","185","185","185","4251.0641238","4251.0641238","4251.0641238","185","185","185","4092.6746170000006","4092.6746170000006","4092.6746170000006"
"186000","186","186","186","3818.5186096000007","3818.5186096000007","3818.5186096000007","186","186","186","3580.9474384","3580.9474384","3580.9474384","186","186","186","4318.734592000001","4318.734592000001","4318.734592000001","186","186","186","4114.098751","4114.098751","4114.098751","186","186","186","3967.2655796","3967.2655796","3967.2655796","186","186","186","3845.7421968000003","3845.7421968000003","3845.7421968000003","186","186","186","3802.2275501999998","3802.2275501999998","3802.2275501999998","186","186","186","3450.4007548","3450.4007548","3450.4007548","186","186","186","4405.2699293999995","4405.2699293999995","4405.2699293999995","186","186","186","4433.5808486","4433.5808486","4433.5808486","186","186","186","4914.4981754","4914.4981754","4914.4981754","186","186","186","4235.3481634","4235.3481634","4235.3481634"
"187000","187","187","187","3741.3402408","3741.3402408","3741.3402408","187","187","187","3510.5389812000003","3510.5389812000003","3510.5389812000003","187","187","187","4351.012324599999","4351.012324599999","4351.012324599999","187","187","187","4138.7676584","4138.7676584","4138.7676584","187","187","187","4088.5776944000004","4088.5776944000004","4088.5776944000004","187","187","187","3846.1531741999993","3846.1531741999993","3846.1531741999993","187","187","187","3706.7074148","3706.7074148","3706.7074148","187","187","187","4392.9172923999995","4392.9172923999995","4392.9172923999995","187","187","187","4259.4297756","4259.4297756","4259.4297756","187","187","187","4219.0448896","4219.0448896","4219.0448896","187","187","187","4637.9020558","4637.9020558","4637.9020558","187","187","187","4158.9952274","4158.9952274","4158.9952274"
"188000","188","188","188","3939.7798839999996","3939.7798839999996","3939.7798839999996","188","188","188","3477.0643334","3477.0643334","3477.0643334","188","188","188","3929.7474462","3929.7474462","3929.7474462","188","188","188","4190.6402664","4190.6402664","4190.6402664","188","188","188","4126.0657022","4126.0657022","4126.0657022","188","188","188","4017.0558182","4017.0558182","4017.0558182","188","188","188","4071.0298618","4071.0298618","4071.0298618","188","188","188","4038.2621742","4038.2621742","4038.2621742","188","188","188","4322.6562536","4322.6562536","4322.6562536","188","188","188","4474.4776526000005","4474.4776526000005","4474.4776526000005","188","188","188","4712.5668178","4712.5668178","4712.5668178","188","188","188","3955.334579","3955.334579","3955.334579"
"189000","189","189","189","4249.9381416","4249.9381416","4249.9381416","189","189","189","3784.7199056","3784.7199056","3784.7199056","189","189","189","4219.074971200001","4219.074971200001","4219.074971200001","189","189","189","4106.657129599999","4106.657129599999","4106.657129599999","189","189","189","4126.429367199999","4126.429367199999","4126.429367199999","189","189","189","4164.698592399999","4164.698592399999","4164.698592399999","189","189","189","4120.5435696","4120.5435696","4120.5435696","189","189","189","4460.4013216","4460.4013216","4460.4013216","189","189","189","4388.2345669999995","4388.2345669999995","4388.2345669999995","189","189","189","4306.212165999999","4306.212165999999","4306.212165999999","189","189","189","4834.8205828","4834.8205828","4834.8205828","189","189","189","4000.3585016000006","4000.3585016000006","4000.3585016000006"
"190000","190","190","190","3899.440006","3899.440006","3899.440006","190","190","190","3721.5597976000004","3721.5597976000004","3721.5597976000004","190","190","190","4112.2953808","4112.2953808","4112.2953808","190","190","190","4230.278961999999","4230.278961999999","4230.278961999999","190","190","190","4047.1376658","4047.1376658","4047.1376658","190","190","190","4534.020148199999","4534.020148199999","4534.020148199999","190","190","190","4008.2535847999998","4008.2535847999998","4008.2535847999998","190","190","190","4390.887670800001","4390.887670800001","4390.887670800001","190","190","190","4414.1851858","4414.1851858","4414.1851858","190","190","190","4415.0863768","4415.0863768","4415.0863768","190","190","190","4868.242738399999","4868.242738399999","4868.242738399999","190","190","190","4213.9411875999995","4213.9411875999995","4213.9411875999995"
"191000","191","191","191","3982.3432434","3982.3432434","3982.3432434","191","191","191","3928.671491","3928.671491","3928.671491","191","191","191","4169.1200422","4169.1200422","4169.1200422","191","191","191","3968.1668081999997","3968.1668081999997","3968.1668081999997","191","191","191","3966.7746598","3966.7746598","3966.7746598","191","191","191","4503.817802399999","4503.817802399999","4503.817802399999","191","191","191","4134.847882399999","4134.847882399999","4134.847882399999","191","191","191","3721.8080268","3721.8080268","3721.8080268","191","191","191","4378.9681922","4378.9681922","4378.9681922","191","191","191","4077.382460200001","4077.382460200001","4077.382460200001","191","191","191","4825.339527599999","4825.339527599999","4825.339527599999","191","191","191","4103.884156800001","4103.884156800001","4103.884156800001"
"192000","192","192","192","4113.2326883999995","4113.2326883999995","4113.2326883999995","192","192","192","3772.9938133999995","3772.9938133999995","3772.9938133999995","192","192","192","4119.847045799999","4119.847045799999","4119.847045799999","192","192","192","4191.8227904","4191.8227904","4191.8227904","192","192","192","3750.9034292000006","3750.9034292000006","3750.9034292000006","192","192","192","4551.2583878000005","4551.2583878000005","4551.2583878000005","192","192","192","4180.818868799999","4180.818868799999","4180.818868799999","192","192","192","3906.3301272","3906.3301272","3906.3301272","192","192","192","4287.1857222","4287.1857222","4287.1857222","192","192","192","4330.760555800001","4330.760555800001","4330.760555800001","192","192","192","4889.9525406","4889.9525406","4889.9525406","192","192","192","4272.6077234","4272.6077234","4272.6077234"
"193000","193","193","193","3951.7430212","3951.7430212","3951.7430212","193","193","193","4005.0706158000003","4005.0706158000003","4005.0706158000003","193","193","193","4240.516065000001","4240.516065000001","4240.516065000001","193","193","193","4039.3346640000004","4039.3346640000004","4039.3346640000004","193","193","193","4032.0972986","4032.0972986","4032.0972986","193","193","193","4487.2399246","4487.2399246","4487.2399246","193","193","193","4224.0460987999995","4224.0460987999995","4224.0460987999995","193","193","193","4718.1607544","4718.1607544","4718.1607544","193","193","193","4316.39969","4316.39969","4316.39969","193","193","193","4342.568878399999","4342.568878399999","4342.568878399999","193","193","193","4820.3989964","4820.3989964","4820.3989964","193","193","193","4223.8207552","4223.8207552","4223.8207552"
"194000","194","194","194","4120.732339799999","4120.732339799999","4120.732339799999","194","194","194","3913.3661283999995","3913.3661283999995","3913.3661283999995","194","194","194","4171.7425028","4171.7425028","4171.7425028","194","194","194","4257.637548000001","4257.637548000001","4257.637548000001","194","194","194","3787.9679602000006","3787.9679602000006","3787.9679602000006","194","194","194","4550.9981008","4550.9981008","4550.9981008","194","194","194","3982.7213072","3982.7213072","3982.7213072","194","194","194","4627.3477846000005","4627.3477846000005","4627.3477846000005","194","194","194","4329.8022736","4329.8022736","4329.8022736","194","194","194","4565.9405756","4565.9405756","4565.9405756","194","194","194","4922.6081178","4922.6081178","4922.6081178","194","194","194","4440.393233000001","4440.393233000001","4440.393233000001"
"195000","195","195","195","4102.4774672","4102.4774672","4102.4774672","195","195","195","3741.8812286","3741.8812286","3741.8812286","195","195","195","2358.2014958","2358.2014958","2358.2014958","195","195","195","3884.0486806","3884.0486806","3884.0486806","195","195","195","3745.736876","3745.736876","3745.736876","195","195","195","4436.2508032","4436.2508032","4436.2508032","195","195","195","4086.3965307999997","4086.3965307999997","4086.3965307999997","195","195","195","4147.3614872","4147.3614872","4147.3614872","195","195","195","4236.0924192","4236.0924192","4236.0924192","195","195","195","4391.2524142","4391.2524142","4391.2524142","195","195","195","4957.1939134","4957.1939134","4957.1939134","195","195","195","4211.506694000001","4211.506694000001","4211.506694000001"
"196000","196","196","196","4141.3398007999995","4141.3398007999995","4141.3398007999995","196","196","196","3803.5235086000002","3803.5235086000002","3803.5235086000002","196","196","196","4032.7886958000004","4032.7886958000004","4032.7886958000004","196","196","196","4224.260372399999","4224.260372399999","4224.260372399999","196","196","196","3705.5321165999994","3705.5321165999994","3705.5321165999994","196","196","196","4432.605853","4432.605853","4432.605853","196","196","196","4169.9366820000005","4169.9366820000005","4169.9366820000005","196","196","196","4519.557730400001","4519.557730400001","4519.557730400001","196","196","196","4324.593430399999","4324.593430399999","4324.593430399999","196","196","196","4419.745341","4419.745341","4419.745341","196","196","196","4980.566153","4980.566153","4980.566153","196","196","196","4438.5104406","4438.5104406","4438.5104406"
